Time,Var1,Var2
61.2000,-1.1447,-0.1447
61.3000,-1.1447,-0.1447
61.4000,-1.1447,-0.1447
61.5000,-1.1447,-0.1447
61.6000,-1.1447,-0.1447
61.7000,-1.1447,-0.1447
61.8000,-1.1447,-0.1447
61.9000,-1.1447,-0.1447
62.0000,-1.1447,-0.1447
62.1000,-1.1448,-0.1447
62.2000,-1.1448,-0.1447
62.3000,-1.1448,-0.1447
62.4000,-1.1448,-0.1447
62.5000,-1.1448,-0.1447
62.6000,-1.1448,-0.1447
62.7000,-1.1448,-0.1447
62.8000,-1.1448,-0.1447
62.9000,-1.1448,-0.1447
63.0000,-1.1448,-0.1447
63.1000,-1.1448,-0.1447
63.2000,-1.1448,-0.1447
63.3000,-1.1448,-0.1447
63.4000,-1.1448,-0.1447
63.5000,-1.1448,-0.1447
63.6000,-1.1448,-0.1447
63.7000,-1.1448,-0.1447
63.8000,-1.1448,-0.1447
63.9000,-1.1448,-0.1447
64.0000,-1.1448,-0.1447
64.1000,-1.1448,-0.1447
64.2000,-1.1448,-0.1447
64.3000,-1.1448,-0.1447
64.4000,-1.1448,-0.1447
64.5000,-1.1448,-0.1447
64.6000,-1.1448,-0.1447
64.7000,-1.1448,-0.1447
64.8000,-1.1448,-0.1447
64.9000,-1.1448,-0.1447
65.0000,-1.1448,-0.1447
65.1000,-1.1448,-0.1447
65.2000,-1.1448,-0.1447
65.3000,-1.1448,-0.1447
65.4000,-1.1448,-0.1447
65.5000,-1.1448,-0.1447
65.6000,-1.1448,-0.1447
65.7000,-1.1448,-0.1447
65.8000,-1.1448,-0.1447
65.9000,-1.1448,-0.1447
66.0000,-1.1448,-0.1447
66.1000,-1.1448,-0.1447
66.2000,-1.1448,-0.1447
66.3000,-1.1448,-0.1447
66.4000,-1.1448,-0.1447
66.5000,-1.1448,-0.1447
66.6000,-1.1448,-0.1447
66.7000,-1.1448,-0.1447
66.8000,-1.1448,-0.1447
66.9000,-1.1448,-0.1447
67.0000,-1.1448,-0.1447
67.1000,-1.1448,-0.1447
67.2000,-1.1448,-0.1447
67.3000,-1.1448,-0.1447
67.4000,-1.1448,-0.1447
67.5000,-1.1448,-0.1447
67.6000,-1.1448,-0.1447
67.7000,-1.1448,-0.1447
67.8000,-1.1448,-0.1447
67.9000,-1.1448,-0.1447
68.0000,-1.1448,-0.1447
68.1000,-1.1448,-0.1447
68.2000,-1.1448,-0.1447
68.3000,-1.1448,-0.1447
68.4000,-1.1448,-0.1447
68.5000,-1.1448,-0.1447
68.6000,-1.1448,-0.1447
68.7000,-1.1448,-0.1447
68.8000,-1.1448,-0.1447
68.9000,-1.1448,-0.1447
69.0000,-1.1448,-0.1447
69.1000,-1.1448,-0.1447
69.2000,-1.1448,-0.1447
69.3000,-1.1448,-0.1447
69.4000,-1.1448,-0.1447
69.5000,-1.1448,-0.1447
69.6000,-1.1448,-0.1447
69.7000,-1.1448,-0.1447
69.8000,-1.1448,-0.1447
69.9000,-1.1448,-0.1447
70.0000,-1.1448,-0.1447
70.1000,-1.1448,-0.1447
70.2000,-1.1448,-0.1447
70.3000,-1.1448,-0.1447
70.4000,-1.1448,-0.1447
70.5000,-1.1448,-0.1447
70.6000,-1.1448,-0.1447
70.7000,-1.1448,-0.1447
70.8000,-1.1448,-0.1447
70.9000,-1.1448,-0.1447
71.0000,-1.1448,-0.1447
71.1000,-1.1448,-0.1447
71.2000,-1.1448,-0.1447
71.3000,-1.1448,-0.1447
71.4000,-1.1448,-0.1447
71.5000,-1.1448,-0.1447
71.6000,-1.1448,-0.1447
71.7000,-1.1448,-0.1447
71.8000,-1.1448,-0.1447
71.9000,-1.1448,-0.1447
72.0000,-1.1448,-0.1447
72.1000,-1.1447,-0.1447
72.2000,-1.1447,-0.1447
72.3000,-1.1447,-0.1447
72.4000,-1.1447,-0.1447
72.5000,-1.1447,-0.1447
72.6000,-1.1447,-0.1447
72.7000,-1.1447,-0.1447
72.8000,-1.1447,-0.1447
72.9000,-1.1447,-0.1447
73.0000,-1.1447,-0.1447
73.1000,-1.1447,-0.1447
73.2000,-1.1447,-0.1447
73.3000,-1.1447,-0.1447
73.4000,-1.1447,-0.1447
73.5000,-1.1447,-0.1447
73.6000,-1.1447,-0.1447
73.7000,-1.1447,-0.1447
73.8000,-1.1447,-0.1447
73.9000,-1.1447,-0.1447
74.0000,-1.1447,-0.1447
74.1000,-1.1447,-0.1447
74.2000,-1.1447,-0.1447
74.3000,-1.1447,-0.1447
74.4000,-1.1447,-0.1447
74.5000,-1.1447,-0.1447
74.6000,-1.1447,-0.1447
74.7000,-1.1447,-0.1447
74.8000,-1.1447,-0.1447
74.9000,-1.1447,-0.1447
75.0000,-1.1447,-0.1447
75.1000,-1.1447,-0.1447
75.2000,-1.1447,-0.1447
75.3000,-1.1447,-0.1447
75.4000,-1.1447,-0.1447
75.5000,-1.1447,-0.1447
75.6000,-1.1447,-0.1447
75.7000,-1.1447,-0.1447
75.8000,-1.1447,-0.1447
75.9000,-1.1447,-0.1447
76.0000,-1.1447,-0.1447
76.1000,-1.1447,-0.1447
76.2000,-1.1447,-0.1447
76.3000,-1.1447,-0.1447
76.4000,-1.1447,-0.1447
76.5000,-1.1447,-0.1447
76.6000,-1.1447,-0.1447
76.7000,-1.1447,-0.1447
76.8000,-1.1447,-0.1447
76.9000,-1.1447,-0.1447
77.0000,-1.1447,-0.1447
77.1000,-1.1447,-0.1447
77.2000,-1.1447,-0.1447
77.3000,-1.1447,-0.1447
77.4000,-1.1447,-0.1447
77.5000,-1.1447,-0.1447
77.6000,-1.1447,-0.1447
77.7000,-1.1447,-0.1447
77.8000,-1.1447,-0.1447
77.9000,-1.1447,-0.1447
78.0000,-1.1447,-0.1447
78.1000,-1.1447,-0.1447
78.2000,-1.1447,-0.1447
78.3000,-1.1447,-0.1447
78.4000,-1.1447,-0.1447
78.5000,-1.1447,-0.1447
78.6000,-1.1447,-0.1447
78.7000,-1.1447,-0.1447
78.8000,-1.1447,-0.1447
78.9000,-1.1447,-0.1447
79.0000,-1.1447,-0.1447
79.1000,-1.1447,-0.1447
79.2000,-1.1447,-0.1447
79.3000,-1.1447,-0.1447
79.4000,-1.1447,-0.1447
79.5000,-1.1447,-0.1447
79.6000,-1.1447,-0.1447
79.7000,-1.1447,-0.1447
79.8000,-1.1447,-0.1447
